brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,ID,proc
ASUS,Celeron,Intel,Celeron Dual,Missing,4,DDR4,0,1024,Windows,64,0,Casual,15.6,1,No,No,23990,26990,11,3.8,15279,1947,0,0
ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,37990,50990,25,4.3,990,108,1,1
ASUS,Vivobook,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,0,Casual,14.1,1,No,No,32890,46990,30,3.9,28,4,2,1
HP,Core,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,42990,57330,25,4.4,158,18,3,2
HP,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,0,No,No,54990,70171,21,4.2,116,15,4,3
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,35990,57290,37,4.0,2124,233,5,1
HP,15s,AMD,Ryzen 3,Missing,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,Yes,41999,48294,13,4.3,3524,432,6,4
ASUS,Core,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,34429,49990,31,4.1,37,6,7,2
DELL,Vostro,Intel,Core i3,10th,8,DDR4,256,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,41490,54782,24,5.0,7,5,8,1
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,256,0,Windows,32,0,ThinNlight,15.6,2,No,Yes,37990,57990,34,4.3,2080,235,9,1
HP,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,53990,70171,23,4.1,206,17,10,3
HP,Ryzen,AMD,Ryzen 3,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,37990,46055,17,4.3,2214,241,11,4
HP,Pavilion,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,57990,70172,17,4.5,4740,532,12,5
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,2,No,Yes,52990,74390,28,4.2,300,24,13,3
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,Casual,15.6,1,No,Yes,35990,49990,28,4.3,1479,181,14,2
DELL,Vostro,AMD,Ryzen 3,Missing,8,DDR4,0,1024,Windows,64,0,ThinNlight,14,1,No,Yes,35990,50651,28,4.1,59,12,15,4
ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,33980,46990,27,4.4,67,3,16,1
HP,Pavilion,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,67990,78294,13,4.5,108,6,17,3
