brand,model,ssd,hdd,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,ID,cpu,ram,os_type,review,price
ASUS,Celeron,0,1024,0,Casual,15.6,1,No,No,0,0,0,0,0,0
ASUS,VivoBook,512,0,0,Casual,15.6,1,No,No,1,1,1,0,1,1
ASUS,Vivobook,0,1024,0,Casual,14.1,1,No,No,2,1,1,0,2,2
HP,Core,512,0,0,ThinNlight,15.6,1,No,Yes,3,3,1,0,3,3
HP,Core,512,0,0,ThinNlight,15.6,0,No,No,4,4,1,0,4,4
Lenovo,IdeaPad,0,1024,0,ThinNlight,15.6,1,No,Yes,5,1,1,5,5,5
HP,15s,256,1024,0,Casual,15.6,1,No,Yes,6,6,1,6,6,6
ASUS,Core,256,0,0,ThinNlight,14,0,No,No,7,3,0,7,7,7
DELL,Vostro,256,1024,0,ThinNlight,15.6,1,No,Yes,8,1,1,8,8,8
Lenovo,IdeaPad,256,0,0,ThinNlight,15.6,2,No,Yes,9,1,1,9,9,1
HP,Core,512,0,0,ThinNlight,15.6,1,No,No,10,4,1,10,10,10
HP,Ryzen,256,0,0,ThinNlight,15.6,1,No,No,11,6,1,11,11,1
HP,Pavilion,512,0,4,Casual,15.6,1,No,No,12,12,1,12,12,12
Lenovo,Ideapad,512,0,0,Casual,14,2,No,Yes,13,4,1,13,13,13
ASUS,VivoBook,256,0,0,Casual,15.6,1,No,Yes,14,3,0,14,14,5
DELL,Vostro,0,1024,0,ThinNlight,14,1,No,Yes,15,6,1,15,15,5
ASUS,VivoBook,256,0,0,ThinNlight,14,0,No,No,16,1,1,16,16,16
HP,Pavilion,512,0,0,ThinNlight,14,1,No,Yes,17,4,17,17,17,17
HP,Core,256,0,0,ThinNlight,14,1,No,Yes,18,3,1,18,18,18
APPLE,2020,256,0,0,Casual,13.3,1,No,No,19,19,1,19,19,19
ASUS,VivoBook,256,0,0,ThinNlight,14,0,No,No,20,20,0,20,20,20
acer,Aspire,0,0,4,Casual,0,0,No,No,21,21,21,21,21,21
ASUS,VivoBook,512,0,0,Casual,15.6,1,No,No,22,22,17,22,22,12
HP,Core,512,0,0,ThinNlight,15.6,1,No,Yes,23,3,1,23,23,3
Lenovo,IdeaPad,256,0,0,ThinNlight,14,0,No,No,24,0,0,24,24,24
DELL,Vostro,256,0,0,ThinNlight,14,1,No,Yes,25,1,1,25,25,25
DELL,Inspiron,256,1024,0,Casual,15.6,0,No,No,26,3,1,26,26,26
MSI,GF63,256,1024,4,Casual,15.6,2,No,No,27,27,1,27,27,27
MSI,GF63,256,1024,4,Casual,15.6,2,No,No,28,22,1,28,28,28
ASUS,TUF,512,0,4,Gaming,15.6,1,No,No,29,29,29,29,29,12
ASUS,Ryzen,256,0,0,ThinNlight,15.6,1,No,No,30,6,30,30,30,5
Lenovo,Ideapad,512,0,0,ThinNlight,15.6,1,No,Yes,31,4,31,31,31,31
realme,Book(Slim),512,0,0,Casual,14,1,No,Yes,32,4,32,32,32,13
acer,Aspire,512,0,0,Casual,15.6,1,No,No,33,6,33,33,33,33
RedmiBook,15,256,0,0,ThinNlight,15.6,1,No,No,34,3,34,34,34,34
ASUS,VivoBook,256,1024,0,Casual,15.6,1,No,Yes,35,4,35,35,35,21
ASUS,Vivobook,512,0,4,Gaming,15.6,0,No,No,36,22,36,36,36,36
MSI,GF65,1024,0,6,Casual,15.6,2,No,No,37,22,37,37,37,37
DELL,Inspiron,256,0,0,ThinNlight,15.6,0,No,No,38,6,38,38,38,25
ASUS,Vivobook,256,1024,4,Gaming,15.6,0,No,No,39,29,39,39,39,27
HP,Pavilion,256,0,0,Casual,14,1,Yes,Yes,40,3,40,40,40,10
DELL,Vostro,256,0,0,Casual,14,1,No,Yes,41,12,41,41,41,41
Lenovo,Core,512,0,0,ThinNlight,15.6,1,No,No,42,4,42,42,42,13
acer,Aspire,256,0,0,ThinNlight,15.6,1,No,No,43,3,43,43,42,34
realme,Book,256,0,0,ThinNlight,14,1,No,Yes,44,3,44,44,44,44
ASUS,VivoBook,512,0,0,Casual,15.6,1,No,No,45,1,45,45,45,5
Lenovo,IdeaPad,512,0,4,Gaming,15.6,1,No,Yes,46,12,46,46,46,46
Lenovo,IdeaPad,512,0,0,ThinNlight,15.6,2,No,Yes,47,4,47,47,47,47
Lenovo,IdeaPad,512,0,0,ThinNlight,15.6,1,No,No,48,12,48,48,48,48
Lenovo,IdeaPad,512,0,0,ThinNlight,14,0,No,No,49,4,49,49,49,36
DELL,Inspiron,256,1024,0,Casual,15.6,0,No,No,50,12,50,50,50,50
DELL,Inspiron,0,1024,0,ThinNlight,15.6,0,No,No,51,51,51,51,51,51
acer,Aspire,0,0,4,Casual,0,0,No,No,52,52,52,52,52,4
ASUS,VivoBook,256,1024,0,Casual,15.6,1,No,No,53,53,53,53,53,4
RedmiBook,15,512,0,0,ThinNlight,15.6,1,No,No,54,54,54,54,34,3
Lenovo,Legion,256,1024,4,Casual,15.6,0,No,No,55,55,55,55,55,55
HP,Ryzen,512,0,0,ThinNlight,14,1,No,Yes,56,56,56,56,56,56
Lenovo,Ideapad,256,0,0,Casual,15.6,2,No,Yes,57,57,57,57,57,50
ASUS,VivoBook,512,0,0,Casual,14,1,No,No,58,58,58,58,58,3
MSI,Modern,512,0,0,Casual,14,0,No,No,59,59,59,59,59,59
HP,Ryzen,512,0,0,ThinNlight,15.6,1,No,Yes,60,60,60,60,60,48
ASUS,Core,256,0,0,ThinNlight,15.6,1,No,No,61,61,61,61,61,1
ASUS,Vivobook,256,0,0,Casual,14,1,No,Yes,62,62,62,62,62,62
RedmiBook,Pro,512,0,0,ThinNlight,15.6,1,No,No,63,63,63,63,63,48
HP,Pavilion,256,1024,4,Gaming,15.6,1,No,Yes,64,64,64,64,64,64
APPLE,2020,256,0,0,Casual,13.3,1,No,No,65,65,65,65,65,65
Lenovo,IdeaPad,256,0,0,ThinNlight,14,1,No,No,66,66,66,66,66,34
ASUS,VivoBook,512,0,0,Casual,14,1,Yes,Yes,67,67,67,67,67,28
ASUS,VivoBook,512,0,0,Casual,14,1,Yes,Yes,68,68,68,68,68,47
Lenovo,ThinkPad,512,0,0,Casual,15.6,1,No,Yes,69,69,69,69,69,69
Nokia,PureBook,512,0,0,ThinNlight,14,0,No,No,70,70,70,70,70,59
acer,Swift,512,0,0,ThinNlight,14,1,No,No,71,71,71,71,71,10
ASUS,VivoBook,512,0,0,Casual,15.6,1,No,No,72,72,72,72,72,48
acer,Aspire,512,0,0,ThinNlight,15.6,1,No,No,73,73,73,73,73,13
APPLE,MacBook,512,0,0,Casual,13.3,1,No,No,74,74,74,74,65,74
acer,Predator,512,1024,4,Casual,15.6,1,No,No,75,75,75,75,75,75
ASUS,ASUS,512,0,4,Gaming,17.3,0,No,No,76,76,76,76,76,76
Lenovo,IdeaPad,512,0,0,ThinNlight,15.6,1,No,No,77,77,77,77,42,77
ASUS,ASUS,512,0,4,Gaming,17.3,0,No,No,78,78,78,78,78,78
Lenovo,IdeaPad,256,0,0,ThinNlight,14,0,No,No,79,79,79,79,79,1
ASUS,VivoBook,512,0,0,Casual,15.6,1,No,No,80,80,80,80,80,59
ASUS,ASUS,1024,0,4,Gaming,15.6,0,No,No,81,81,81,81,81,64
Nokia,PureBook,512,0,0,ThinNlight,14,0,No,No,82,82,82,82,82,82
Lenovo,IdeaPad,512,0,0,ThinNlight,15.6,2,No,Yes,83,83,83,83,83,83
ASUS,ASUS,512,0,4,Gaming,17.3,0,No,No,84,84,84,84,84,84
ASUS,VivoBook,256,1024,0,Casual,15.6,1,No,No,85,85,85,85,85,4
MSI,Katana,512,0,4,Casual,15.6,2,No,No,86,86,86,86,86,76
APPLE,MacBook,256,0,0,Casual,13.3,1,No,No,87,87,87,87,87,87
MSI,GF65,512,0,6,Casual,15.6,2,No,No,88,88,88,88,88,76
acer,Aspire,256,1024,0,Casual,15.6,1,No,No,89,89,89,89,89,12
ASUS,VivoBook,256,1024,0,Casual,15.6,1,No,No,90,90,90,90,42,13
DELL,Vostro,256,0,0,ThinNlight,14.96,1,No,Yes,91,91,91,91,91,41
Lenovo,IdeaPad,512,0,0,Casual,15.6,1,No,Yes,92,92,92,92,92,13
ASUS,TUF,512,0,6,Gaming,15.6,1,No,Yes,93,93,93,93,93,93
ASUS,VivoBook,512,0,0,Casual,14,1,No,No,94,94,94,94,94,3
APPLE,2020,512,0,0,Casual,13.3,1,No,No,95,95,95,95,95,95
ASUS,VivoBook,256,0,0,Casual,15.6,1,No,No,96,96,96,96,96,82
