ID,processor_brand,processor_name,processor_gnrtn
0,Intel,Celeron Dual,Missing
1,Intel,Core i3,10th
3,Intel,Core i3,11th
4,Intel,Core i5,11th
6,AMD,Ryzen 3,Missing
12,AMD,Ryzen 5,Missing
19,Apple,M1 Processor,Missing
20,Intel,Pentium Silver,Missing
21,Intel,i5,Missing
22,Intel,Core i7,10th
27,Intel,Hexa Core,Missing
29,Intel,Core i5,10th
64,AMD,Ryzen 7,Missing
75,Intel,Core i7,11th
104,Intel,Pentium Quad,Missing
128,AMD,Ryzen 9,Missing
200,Intel,Core i9,11th
212,AMD,APU Dual,Missing
218,Apple,M1 Pro,Missing
221,Intel,Core i5,9th
229,Apple,M1 Max,Missing
288,MediaTek,MediaTek Kompanio,Missing
355,AMD,A6-9225 Processor,Missing
385,Qualcomm,Snapdragon 7c,Missing
408,Intel,Ryzen 7,Missing
420,Intel,Core i5,8th
436,AMD,Dual Core,Missing
460,Intel,Core i5,7th
466,Intel,Core i7,12th
469,Intel,Core i9,12th
471,Intel,Core i7,8th
526,Intel,Core i9,10th
612,Intel,Core i5,4th
643,Intel,Core i7,9th
731,AMD,Athlon Dual,Missing
807,Intel,Core i3,7th
845,Intel,Core i3,8th
858,Intel,Core m3,7th
