ID,star_rating,ratings,reviews
0,3.8,15279,1947
1,4.3,990,108
2,3.9,28,4
3,4.4,158,18
4,4.2,116,15
5,4.0,2124,233
6,4.3,3524,432
7,4.1,37,6
8,5.0,7,5
9,4.3,2080,235
10,4.1,206,17
11,4.3,2214,241
12,4.5,4740,532
13,4.2,300,24
14,4.3,1479,181
15,4.1,59,12
16,4.4,67,3
17,4.5,108,6
18,4.2,273,30
19,4.7,6725,629
20,4.0,36,3
21,4.4,10966,1185
22,4.3,76,9
23,4.3,681,59
24,4.0,286,19
25,4.3,1267,171
26,4.3,207,16
27,4.4,2582,272
28,4.3,794,83
29,4.5,3712,412
30,4.3,2886,375
31,4.4,825,95
32,4.4,3470,505
33,4.6,11,2
34,4.3,1063,152
35,4.3,1188,127
36,4.5,11,2
37,4.4,498,64
38,4.3,34,4
39,4.5,23,0
40,4.6,14,0
41,4.3,939,107
42,0.0,0,0
44,4.4,6352,1014
45,4.4,130,12
46,4.5,162,15
47,4.2,85,4
48,4.4,219,27
49,4.2,56,7
50,4.0,31,3
51,4.0,276,40
53,4.5,18,3
55,4.5,271,24
56,4.5,193,28
57,4.3,365,35
58,4.3,30,4
59,4.6,562,89
60,4.4,45,5
61,4.3,284,39
62,4.6,44,5
63,4.2,1708,242
64,4.5,1084,123
65,4.8,640,70
66,4.2,33,4
67,4.6,10,1
68,4.7,6,2
69,4.6,17,4
70,4.4,1119,242
71,4.9,7,0
72,4.5,174,30
73,4.2,155,20
75,4.5,214,37
76,4.8,22,3
78,4.4,91,17
79,4.2,286,36
80,4.0,35,2
81,4.5,368,48
82,4.7,6,1
83,4.3,126,13
84,4.5,74,10
85,4.6,49,6
86,4.6,75,17
87,4.7,45,4
88,4.5,298,49
89,4.6,32,1
91,3.6,10,5
92,4.2,39,5
93,4.6,124,17
94,4.5,40,7
95,4.6,399,45
96,4.5,816,147
97,4.5,1597,228
100,4.7,809,91
101,4.5,342,54
105,4.0,58,6
106,4.2,137,15
107,4.2,47,0
108,3.9,13,1
109,4.6,163,33
110,4.3,543,65
111,4.4,3850,378
112,4.7,7,1
113,4.8,9,1
114,4.3,844,103
115,4.3,184,29
117,4.2,53,6
121,4.5,92,10
122,4.3,1296,126
123,4.7,108,24
124,4.6,198,24
125,4.3,3,0
127,4.5,484,56
129,4.5,44,2
130,4.5,469,80
131,4.3,1221,265
133,4.4,272,36
135,4.2,399,40
136,4.3,571,56
139,4.3,1178,137
141,4.8,5,1
142,4.5,213,45
143,4.3,10,0
144,4.0,27,2
145,2.5,2,1
146,4.4,299,41
147,4.4,1978,188
148,4.5,141,24
149,4.4,20,1
